model,calibration_type,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,positive_rate_predicted
logistic_regression,uncalibrated,0.7315121412803532,0.3107491480390458,0.7610694581977648,0.441309162496924,0.8196313622060201,0.39258517361846546,0.17757802687040822,0.34123699148533587
logistic_regression,sigmoid_calibrated,0.8619717754651529,0.5153774464119292,0.15645777337671524,0.24004340748779165,0.8196319939240516,0.3925881492380139,0.10010009947711729,0.04229738252917061
random_forest,uncalibrated,0.7171042257962787,0.30187139593080187,0.7849766586504456,0.43605359317904996,0.8197717801661552,0.40985306231660695,0.17844266625615812,0.36230684326710816
random_forest,sigmoid_calibrated,0.864041311888994,0.550561797752809,0.13170179657660205,0.21255707762557077,0.819997586966702,0.40996494706927866,0.09864707116278856,0.03332939135919268
